商品名称,数量,单价,总价格
列治文送货上门,2,6.0,12.0
大丽花 - Cactus 'Eva Luna',2,8.0,16.0
大丽花 - Dazzling Sun,6,8.0,48.0
大丽花 - Decorative 'Rebecca's Word',7,8.0,56.0
大丽花 - Decorative 'Rip City',1,8.0,8.0
大丽花 - Decorative 'Salmon Runner',1,7.0,7.0
大丽花 - Decorative 'Tartan',5,8.0,40.0
大丽花 - Decorative 'Yarra Falls',5,8.0,40.0
大丽花 - Ferncliff Illusion,8,8.0,64.0
大丽花 - Fringed 'Kenord Macop-B',2,8.0,16.0
大丽花 - Islander,1,7.0,7.0
大丽花 - Labyrinth,3,8.0,24.0
大丽花 - Lady Darlene,4,8.0,32.0
大丽花 - Penhill Watermelon,4,8.0,32.0
大丽花 - Sir Alf Ramsey,4,8.0,32.0
大丽花- Babylon Red,4,7.0,28.0
大丽花- Brigitta Alida,2,7.0,14.0
大丽花- Cafe au Lait Rose,2,9.0,18.0
大丽花- Cafe au Lait Royal,4,9.0,36.0
大丽花- Fairway Spur,5,8.0,40.0
大丽花球 -  'Wizard of Oz',11,7.0,77.0
大丽花球 - Marble Ball,4,7.0,28.0
大丽花球 - Viking,8,7.0,56.0
奇异果 - 'lssai' 软枣猕猴桃：盆栽,4,18.0,72.0
本拿比送货上门,1,6.0,6.0
洋牡丹毛茛混合,12,7.0,84.0
牡丹 - 粉色 一盆,1,38.0,38.0
白醋栗,1,15.0,15.0
百合 - Elodie,8,4.0,32.0
百合 Double Oriental ‘Anouska’,1,5.0,5.0
百合 Roselily Samantha,1,5.0,5.0
百合 Roselily ‘Sita’,1,5.0,5.0
百子莲 - Triumphator,6,6.0,36.0
红醋栗,1,15.0,15.0
芍药 - 'Celebrity',2,14.0,28.0
芍药 - 'Many Happy Returns',2,10.0,20.0
芍药 - 'Sarah Bernhardt',1,9.0,9.0
芍药 - 'Sorbet',1,10.0,10.0
芍药 - 'itoh Bartzella',1,20.0,20.0
菖蒲 - Cherry Cola,1,8.0,8.0
菖蒲 - fresh and crisp 多色混合,4,14.0,56.0
蓝莓 - 公爵Duke 盆栽,3,16.0,48.0
蓝莓 - 公爵Duke裸根,5,8.0,40.0
银莲花 - 'Fullstar Red’,3,8.0,24.0
银莲花 - 'Fullstar White’,2,8.0,16.0
银莲花 - St. Brigid Mix,9,5.0,45.0
长寿果-蓝靛果 一盆,3,20.0,60.0
食用虎皮百合 - Speciosum Rubrum 'Uchida',13,6.0,78.0
食用虎皮百合-珍奇Black Beauty,8,5.0,40.0
食用虎皮百合·马塔贡 - 'Claude Shride',5,7.0,35.0
食用虎皮百合·马塔贡 - 'Golden Morning',6,7.0,42.0
食用虎皮百合·马塔贡 - ‘Pink Morning',2,7.0,14.0
食用虎皮百合马塔贡 - ‘Snow Morning',7,7.0,49.0
香水复瓣百合 Double Oriental ‘Anouska’,12,5.0,60.0
香水复瓣百合 Roselily Samantha,11,5.0,55.0
香水复瓣百合 Roselily ‘Sita’,4,5.0,20.0
马蹄莲 - Captain Lido,5,5.0,25.0
马蹄莲 - Picasso,3,5.0,15.0
黑醋栗：很甜，具有保健作用,2,15.0,30.0
